,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
0,Python Developer,80000.0,80000.0,руб.,https://hh.ru/vacancy/67425179?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ЭкспрессДеньги,"Москва, Деловой центр и еще 2 "
1,DevOps разработчик,,,,https://hh.ru/vacancy/53878752?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Сбер. IT,Москва
2,Golang разработчик,,,,https://hh.ru/vacancy/67044581?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Сбер. IT,Нижний Новгород
3,Database Developer,,,,https://hh.ru/vacancy/67445512?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,Aston,Москва
4,Python Backend Developer,150000.0,300000.0,руб.,https://hh.ru/vacancy/67418134?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ЭкспрессДеньги,"Москва, Деловой центр и еще 2 "
5,Java разработчик в команду Интеграция,,,,https://hh.ru/vacancy/52083698?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО HeadHunter::Backend,"Москва, Алексеевская"
6,Java разработчик в команду Монетизация,,,,https://hh.ru/vacancy/52082133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО HeadHunter::Backend,"Москва, Алексеевская"
7,Senior Java developer (команда Поиск),,,,https://hh.ru/vacancy/66192664?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО HeadHunter::Backend,"Москва, Алексеевская"
8,Senior java developer (команда Архитектура),,,,https://hh.ru/vacancy/67304022?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,ООО HeadHunter::Backend,"Москва, Алексеевская"
9,Инженер по нагрузочному тестированию (Platform V User Sessions),,,,https://hh.ru/vacancy/67053204?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA,hh.ru,SberTech,"Москва, Тульская"
