,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
0,Машинист электропоезда,110000.0,,руб.,https://hh.ru/vacancy/66963986?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,Работа для Вас,Москва
1,Крановщик автомобильных кранов Liebherr/Машинист гусеничного крана,120000.0,,руб.,https://hh.ru/vacancy/67254259?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ДКО Кран,Москва
2,Машинист/оператор копровой установки,140000.0,200000.0,руб.,https://hh.ru/vacancy/67399335?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ГК Магистраль,Москва
3,Помощник машиниста электропоезда,,65000.0,руб.,https://hh.ru/vacancy/66913362?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Аэроэкспресс,Москва
4,Машинист асфальтового катка,135000.0,,руб.,https://hh.ru/vacancy/67459708?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,АО ЦДС,Москва
5,Машинист бульдозера,120000.0,180000.0,руб.,https://hh.ru/vacancy/66831077?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Ярд Империал,Москва
6,Автокрановщик,140000.0,160000.0,руб.,https://hh.ru/vacancy/67300329?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ОАО ДМНР-КХМ,Москва
7,Машинист автогрейдера,140000.0,,руб.,https://hh.ru/vacancy/66725647?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СПЕЦТРАНСпроект,Москва
8,Машинист башенного крана,95000.0,105000.0,руб.,https://hh.ru/vacancy/67042811?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ЗАО УВН Техника,Москва
9,"Машинист экскаватора (погрузчика, гусеничного, колесного)",120000.0,,руб.,https://hh.ru/vacancy/66109259?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Ярд Империал,Москва
10,Машинист крана автомобильного,110000.0,130000.0,руб.,https://hh.ru/vacancy/66738476?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО СПЕЦТРАНСпроект,Москва
11,Машинист экскаватора-погрузчика JCB3CX (Super),92000.0,135000.0,руб.,https://hh.ru/vacancy/67409436?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,НИП ЭнергоГаз,Москва
12,Машинист экскаватора-погрузчика,80000.0,120000.0,руб.,https://hh.ru/vacancy/66834036?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО МРСУ-1,"Москва, Крылатское"
13,Машинист башенного крана/Оператор - крановщик,90000.0,140000.0,руб.,https://hh.ru/vacancy/67499863?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО ТРС,"Москва, Ховрино"
14,Машинист автокрана,120000.0,120000.0,руб.,https://hh.ru/vacancy/66831027?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Ярд Империал,Москва
15,Машинист катка,100000.0,115000.0,руб.,https://hh.ru/vacancy/67467820?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Трудовые ресурсы,Москва
16,Машинист буровой установки (строительство),110000.0,130000.0,руб.,https://hh.ru/vacancy/67384280?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО БУРИНЖСТРОЙ,Москва
17,Ученик/Машинист автовышки и автогидроподъемника АГП/Водитель автовышки и автогидроподъемника АГП,80000.0,100000.0,руб.,https://hh.ru/vacancy/53416810?query=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B8%D1%81%D1%82,hh.ru,ООО Вектор,Москва
