,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
0,Разработчик Python,,,,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-python-43582308.html,superjob.ru,Minersearch,Москва
1,Python Developer,250000.0,350000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/python-developer-43470721.html,superjob.ru,Технопарк «Сколково»,Москва
2,Программист Python,170000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/programmist-python-43752722.html,superjob.ru,1ceo,Санкт-Петербург
3,Разработчик Python,180000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-python-41696139.html,superjob.ru,Ботобот,Москва
4,C++ Developer (with Python),140000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/c-43578234.html,superjob.ru,Звездин Илья Сергеевич,Москва
5,Full-stack developer Python,250000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/full-stack-developer-python-43537974.html,superjob.ru,Экзибилити,Москва • Текстильщики
6,Full Stack Python/JS разработчик,120000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/full-stack-python-43792434.html,superjob.ru,Радиофид,"Санкт-Петербург • Озерки, Проспект Просвещения"
7,Python developer,160000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/python-developer-43570521.html,superjob.ru,Starlab,Москва
8,Разработчик Python,250000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-python-43526831.html,superjob.ru,"ООО""Экзибилити""",Москва • Текстильщики
9,Программист Python,,,,https://russia.superjob.ru/vakansii/vakansii/programmist-python-43686222.html,superjob.ru,АВ Софт,Москва • Владыкино и ещё 2 станции
10,Senior Python Backend Developer / Web-разработчик,230000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/senior-python-backend-developer-40866744.html,superjob.ru,Perfect Systems,Москва
11,Python developer,,500000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/python-developer-43577267.html,superjob.ru,Звездин Илья Сергеевич,Москва
12,"Инженер-разработчик, программист",40000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/inzhener-razrabotchik-43483883.html,superjob.ru,Инжиниринговый Центр РЕГИОНАЛЬНЫЕ СИСТЕМЫ,Волгоград
13,Инженер-программист станков с ПУ 1 категории,70000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/inzhener-programmist-stankov-s-pu-1-kategorii-42317748.html,superjob.ru,«Северо-Западный региональный центр Концерна ВКО «Алмаз-Антей» - Обуховский завод»,Санкт-Петербург
14,Junior backend-разработчик,60000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/junior-backend-razrabotchik-43665196.html,superjob.ru,Верме,Москва
15,Разработчик УНСИ,,,,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-unsi-43784476.html,superjob.ru,Сбербанк России,Хабаровск
16,IOS Developer Middle / Senior,150000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/ios-developer-middle-43620155.html,superjob.ru,Human Result,Волгоград
17,Программист MS Dynamics AX (Axapta),120000.0,150000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/programmist-ms-dynamics-ax-40488589.html,superjob.ru,Национальная транспортная ассоциация,Санкт-Петербург
