,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
0,Junior Java разработчик (Backend-разработчик),70000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/junior-java-razrabotchik-43845032.html,superjob.ru,Московский завод ФИЗПРИБОР,Москва • Бауманская
1,"Разработчик инструментов DevOps, Junior",,,,https://russia.superjob.ru/vakansii/vakansii/razrabotchik-instrumentov-devops-43784474.html,superjob.ru,Сбербанк России,Хабаровск
2,Senior Java-разработчик,,350000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/senior-java-razrabotchik-43582122.html,superjob.ru,Технопарк «Сколково»,Москва
3,Senior Java developer / Team Lead,200000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/senior-java-developer-43661123.html,superjob.ru,Альтернативные Инновационные Технологии,Санкт-Петербург
4,Senior Java developer,,,,https://russia.superjob.ru/vakansii/vakansii/senior-java-developer-43341232.html,superjob.ru,Дикси Групп,Москва
5,Middle java developer,,,,https://russia.superjob.ru/vakansii/vakansii/middle-java-developer-43447712.html,superjob.ru,SSP SOFT,Томск
6,Senior Fullstack Java Developer,,,,https://russia.superjob.ru/vakansii/vakansii/senior-fullstack-java-developer-43577239.html,superjob.ru,Звездин Илья Сергеевич,Москва
7,Программист Java,,,,https://russia.superjob.ru/vakansii/vakansii/programmist-java-43733556.html,superjob.ru,Ин-Сток Текнолоджис,Тюмень
8,Java-разработчик,,,,https://russia.superjob.ru/vakansii/vakansii/java-razrabotchik-43794039.html,superjob.ru,Лартех Телеком,Санкт-Петербург
9,Программист Java (full-stack),200000.0,,руб.,https://russia.superjob.ru/vakansii/vakansii/programmist-java-43295791.html,superjob.ru,Арт-Рекрутинг,Санкт-Петербург
10,Java-разработчик,130000.0,180000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/java-razrabotchik-43621660.html,superjob.ru,Федеральный институт цифрой трансформации в сфере образования,Москва
11,Middle Java Developer,,250000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/middle-java-developer-43783636.html,superjob.ru,Инполюс,Москва
12,Java developer,,,,https://russia.superjob.ru/vakansii/vakansii/java-developer-43617743.html,superjob.ru,ВКадре,Санкт-Петербург
13,"Android разработчик (Kotlin, Java)",200000.0,250000.0,руб.,https://russia.superjob.ru/vakansii/vakansii/android-razrabotchik-43777782.html,superjob.ru,Ваша кадровая служба,Санкт-Петербург
14,Java developer,,,,https://russia.superjob.ru/vakansii/vakansii/java-developer-41629573.html,superjob.ru,БАНК УРАЛСИБ,Москва
15,Senior Java developer,,,,https://russia.superjob.ru/vakansii/vakansii/senior-java-developer-43792947.html,superjob.ru,Дикси Групп,Екатеринбург
