,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
0,Ведущий инженер/ведущий научный сотрудник,80000.0,,руб.,https://hh.ru/vacancy/66847185?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,ОАО НИИ парашютостроения,"Москва, Щелковская"
1,Ведущий инженер/Ведущий научный сотрудник (прочность),80000.0,,руб.,https://hh.ru/vacancy/66850430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,ОАО НИИ парашютостроения,"Москва, Щелковская"
2,"Инженер-конструктор, ПБ ""Автоматика""",,,,https://hh.ru/vacancy/48615579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,АО Климов,Санкт-Петербург
3,Программирующий математик,,,,https://hh.ru/vacancy/54770574?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,Ритм,Москва
4,Инженер-конструктор 1 категории отдела авиационной теплофизики,80000.0,,руб.,https://hh.ru/vacancy/48212364?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,ПАО Туполев,Москва
5,Инженер-расчетчик / Ведущий инженер-расчетчик (CFD / производственные процессы),,,,https://hh.ru/vacancy/67395997?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,ГК CompMechLab,Санкт-Петербург
6,PHP-программист (Backend-разработчик),,90000.0,руб.,https://hh.ru/vacancy/67296378?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,ФГБУ Авиаметтелеком Росгидромета,Москва
7,Младший инженер-теплогидравлик,,65000.0,руб.,https://hh.ru/vacancy/44873697?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,АО Русатом Сервис,"Москва, Профсоюзная"
8,Ведущий инженер в отдел баллистики и динамики полёта,,,,https://hh.ru/vacancy/55521068?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,Молния,Москва
9,Океанолог-гидрометеоролог,,,,https://hh.ru/vacancy/66983549?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,ООО Моринтех,Москва
10,Инженер-радиотехник,60000.0,100000.0,руб.,https://hh.ru/vacancy/66105621?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Fortran,hh.ru,ФГУП НИЦ Курчатовский институт - ВИАМ,"Москва, Бауманская и еще 1 "
