,Vacancy,Salary min,Salary max,Currency,Link,Site,Employer,Place
0,Senior data scientist,,,,https://hh.ru/vacancy/54418768?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,АО Банк ДОМ.РФ,Москва
1,Data Scientist,,,,https://hh.ru/vacancy/66198333?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО БиАйЭй-Технолоджиз,Санкт-Петербург
2,Middle/Senior Data Scientist,,,,https://hh.ru/vacancy/53885115?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Самокат (ООО Умное пространство),Санкт-Петербург
3,"Data Scientist (Армения, Ереван)",,,,https://hh.ru/vacancy/66708180?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Alex Staff Agency,Москва
4,Quantitative Analyst / Data Scientist (алгоритмист),3500.0,4500.0,EUR,https://hh.ru/vacancy/67497409?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,HR Prime,Москва
5,Data Scientist в направление «Ценообразование»,,,,https://hh.ru/vacancy/51649877?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Профи (profi.ru),"Москва, Аэропорт"
6,Data Scientist,,,,https://hh.ru/vacancy/66964740?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Группа Самолет,Москва
7,Senior data scientist (Антифрод),,,,https://hh.ru/vacancy/66824236?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер для экспертов,Москва
8,Senior Data Scientist (remote),,,,https://hh.ru/vacancy/67570201?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,РобоФинанс,Москва
9,Senior Data Scientist (computer vision),,,,https://hh.ru/vacancy/67072752?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,inDriver,Москва
10,Lead Data Scientist (ВЭД),,,,https://hh.ru/vacancy/67562972?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
11,Старший научный сотрудник/Data Scientist по направлению в группу биоинформатика,,,,https://hh.ru/vacancy/67318037?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Институт искусственного интеллекта AIRI,Москва
12,Senior Data Scientist,5200.0,5200.0,USD,https://hh.ru/vacancy/67366123?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,КСК-Эйч Ар,Москва
13,Data Scientist (Computer Vision) - Middle,120000.0,180000.0,руб.,https://hh.ru/vacancy/67314918?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем,"Москва, Аэропорт"
14,Data Scientist (Computer Vision) - Junior,75000.0,125000.0,руб.,https://hh.ru/vacancy/67314841?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем,"Москва, Аэропорт"
15,Middle/Senior Data Scientist,200000.0,,руб.,https://hh.ru/vacancy/67231044?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,JuicyScore,Москва
16,Data Scientist (Центр валидации моделей КИБ),,,,https://hh.ru/vacancy/67579406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
17,Senior Data Scientist,,,,https://hh.ru/vacancy/67488445?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ICL Services,Казань
18,Senior Data Scientist в СберМаркет (команда поиска),,,,https://hh.ru/vacancy/66775411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,СберМаркет,Москва
19,Senior Data Scientist (Antifraud),,,,https://hh.ru/vacancy/66949310?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,inDriver,"Москва, Белорусская"
20,Data Engineer,3500.0,5700.0,EUR,https://hh.ru/vacancy/67462578?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Plesk,Москва
21,Data Engineer,3500.0,5700.0,EUR,https://hh.ru/vacancy/67462579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Plesk,Санкт-Петербург
22,Senior Data Scientist,200000.0,,руб.,https://hh.ru/vacancy/67473868?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО Горизонт,Москва
23,Senior Data Scientist,5200.0,5200.0,USD,https://hh.ru/vacancy/67366124?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,КСК-Эйч Ар,Санкт-Петербург
24,Data scientist в высокотехнологичный продукт,200000.0,400000.0,руб.,https://hh.ru/vacancy/66875865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Aimers,Москва
25,Middle Data Scientist,,,,https://hh.ru/vacancy/67079125?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Ridex GmbH,"Новосибирск, Площадь Ленина"
26,Data Analyst/Data Scientist,,,,https://hh.ru/vacancy/67491133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,АО Citibank,"Москва, Калужская"
27,Prodact owner с навыками управления командой data scientist (senior),,,,https://hh.ru/vacancy/67229740?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,билайн,Москва
28,Data scientist,,,,https://hh.ru/vacancy/67454582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Selecty,Москва
29,Senior Data Scientist в Блок Управление благосостоянием,,,,https://hh.ru/vacancy/67136583?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,Москва
30,Middle/Senior Data scientist (Computer Vision),,,,https://hh.ru/vacancy/66719843?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер. Data Science,Москва
31,Data Scientist c опытом NLP (Middle / Senior),300000.0,,руб.,https://hh.ru/vacancy/66833677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО РЕСТАДВАЙЗЕР,Санкт-Петербург
32,Senior Data Scientist (NLP),,,,https://hh.ru/vacancy/43658985?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО Актион Технологии,Москва
33,Middle/Senior Data Scientist,,,,https://hh.ru/vacancy/67443393?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,"ПАО Первая Грузовая Компания, IT/Digital","Москва, Бауманская и еще 2 "
34,Data Scientist (аналитик данных),,,,https://hh.ru/vacancy/67509075?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Selecty,Москва
35,Data Analytics Lead,,,,https://hh.ru/vacancy/66612510?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,ООО Марс,Москва
36,"Data scientist (senior), Управление ML",,,,https://hh.ru/vacancy/67467081?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Банк ВТБ (ПАО),"Москва, Выставочная"
37,Senior Data Scientist (CV/NLP),,,,https://hh.ru/vacancy/67463282?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,СберМегаМаркет,"Москва, Новокузнецкая и еще 2 "
38,Middle/Senior Data Scientist в команду ботов в SberCare,,,,https://hh.ru/vacancy/67504519?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер для экспертов,Москва
39,Lead Data Scientist ML/CV,,,,https://hh.ru/vacancy/55120326?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,Сбер для экспертов,Москва
40,Senior Data Scientist,,,,https://hh.ru/vacancy/67409356?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,INSITECH Development,Москва
41,Senior Data Scientist,,,,https://hh.ru/vacancy/67409357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,INSITECH Development,Санкт-Петербург
42,Senior Data Scientist,,,,https://hh.ru/vacancy/67409358?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20scientist%20senior,hh.ru,INSITECH Development,Казань
